Cancer Sites,Age Group ,Sex,Race,Deaths
Lung and Bronchus,65-69,Male,Black or African American,36827
Lung and Bronchus,65-69,Male,White,259252
Lung and Bronchus,70-74,Female,American Indian or Alaska Native,1298
Lung and Bronchus,70-74,Female,Asian or Pacific Islander,4486
Lung and Bronchus,70-74,Female,Black or African American,22994
Lung and Bronchus,70-74,Female,White,228428
Lung and Bronchus,70-74,Male,American Indian or Alaska Native,1620
Lung and Bronchus,70-74,Male,Asian or Pacific Islander,6552
Lung and Bronchus,70-74,Male,Black or African American,34521
Lung and Bronchus,70-74,Male,White,295787
Lung and Bronchus,75-79,Female,American Indian or Alaska Native,1049
Lung and Bronchus,75-79,Female,Asian or Pacific Islander,4540
Lung and Bronchus,75-79,Female,Black or African American,20966
Lung and Bronchus,75-79,Female,White,232397
Lung and Bronchus,75-79,Male,American Indian or Alaska Native,1330
Lung and Bronchus,75-79,Male,Asian or Pacific Islander,6731
Lung and Bronchus,75-79,Male,Black or African American,28343
Lung and Bronchus,75-79,Male,White,284644
Lung and Bronchus,80-84,Female,American Indian or Alaska Native,736
Lung and Bronchus,80-84,Female,Asian or Pacific Islander,4258
Lung and Bronchus,80-84,Female,Black or African American,15774
Lung and Bronchus,80-84,Female,White,192541
Lung and Bronchus,80-84,Male,American Indian or Alaska Native,771
Lung and Bronchus,80-84,Male,Asian or Pacific Islander,5495
Lung and Bronchus,80-84,Male,Black or African American,18538
Lung and Bronchus,80-84,Male,White,219912
Lung and Bronchus,85+,Female,American Indian or Alaska Native,575
Lung and Bronchus,85+,Female,Asian or Pacific Islander,4714
Lung and Bronchus,85+,Female,Black or African American,14064
Lung and Bronchus,85+,Female,White,180815
Lung and Bronchus,85+,Male,American Indian or Alaska Native,484
Lung and Bronchus,85+,Male,Asian or Pacific Islander,5123
Lung and Bronchus,85+,Male,Black or African American,12685
Lung and Bronchus,85+,Male,White,169707
Melanoma of the Skin,15-19,Female,White,54
Melanoma of the Skin,15-19,Male,White,74
Melanoma of the Skin,20-24,Female,White,231
Melanoma of the Skin,20-24,Male,White,295
Melanoma of the Skin,25-29,Female,White,525
Melanoma of the Skin,25-29,Male,White,775
Melanoma of the Skin,30-34,Female,White,998
Melanoma of the Skin,30-34,Male,Asian or Pacific Islander,19
Melanoma of the Skin,30-34,Male,Black or African American,23
Melanoma of the Skin,30-34,Male,White,1343
Melanoma of the Skin,35-39,Female,Asian or Pacific Islander,17
Melanoma of the Skin,35-39,Female,Black or African American,43
Melanoma of the Skin,35-39,Female,White,1563
Melanoma of the Skin,35-39,Male,Black or African American,33
Melanoma of the Skin,35-39,Male,White,2168
Melanoma of the Skin,40-44,Female,Asian or Pacific Islander,22
Melanoma of the Skin,40-44,Female,Black or African American,47
Melanoma of the Skin,40-44,Female,White,2495
Melanoma of the Skin,40-44,Male,Asian or Pacific Islander,24
Melanoma of the Skin,40-44,Male,Black or African American,62
Melanoma of the Skin,40-44,Male,White,3816
Melanoma of the Skin,45-49,Female,Asian or Pacific Islander,35
Melanoma of the Skin,45-49,Female,Black or African American,53
Melanoma of the Skin,45-49,Female,White,3597
Melanoma of the Skin,45-49,Male,Asian or Pacific Islander,31
Melanoma of the Skin,45-49,Male,Black or African American,70
Melanoma of the Skin,45-49,Male,White,5774
Melanoma of the Skin,50-54,Female,Asian or Pacific Islander,34
Melanoma of the Skin,50-54,Female,Black or African American,94
Melanoma of the Skin,50-54,Female,White,4616
Melanoma of the Skin,50-54,Male,American Indian or Alaska Native,17
Melanoma of the Skin,50-54,Male,Asian or Pacific Islander,39
Melanoma of the Skin,50-54,Male,Black or African American,106
Melanoma of the Skin,50-54,Male,White,8331
Melanoma of the Skin,55-59,Female,Asian or Pacific Islander,52
Melanoma of the Skin,55-59,Female,Black or African American,109
Melanoma of the Skin,55-59,Female,White,5512
Melanoma of the Skin,55-59,Male,American Indian or Alaska Native,32
Melanoma of the Skin,55-59,Male,Asian or Pacific Islander,42
Melanoma of the Skin,55-59,Male,Black or African American,160
Melanoma of the Skin,55-59,Male,White,11061
Melanoma of the Skin,60-64,Female,Asian or Pacific Islander,56
Melanoma of the Skin,60-64,Female,Black or African American,158
Melanoma of the Skin,60-64,Female,White,6156
Melanoma of the Skin,60-64,Male,American Indian or Alaska Native,29
Melanoma of the Skin,60-64,Male,Asian or Pacific Islander,55
Melanoma of the Skin,60-64,Male,Black or African American,166
Melanoma of the Skin,60-64,Male,White,13138
Melanoma of the Skin,65-69,Female,Asian or Pacific Islander,68
Melanoma of the Skin,65-69,Female,Black or African American,154
Melanoma of the Skin,65-69,Female,White,6469
Melanoma of the Skin,65-69,Male,American Indian or Alaska Native,23
Melanoma of the Skin,65-69,Male,Asian or Pacific Islander,62
Melanoma of the Skin,65-69,Male,Black or African American,184
Melanoma of the Skin,65-69,Male,White,14466
Melanoma of the Skin,70-74,Female,American Indian or Alaska Native,19
Melanoma of the Skin,70-74,Female,Asian or Pacific Islander,56
Melanoma of the Skin,70-74,Female,Black or African American,183
Melanoma of the Skin,70-74,Female,White,6912
Melanoma of the Skin,70-74,Male,American Indian or Alaska Native,28
Melanoma of the Skin,70-74,Male,Asian or Pacific Islander,78
Melanoma of the Skin,70-74,Male,Black or African American,143
Melanoma of the Skin,70-74,Male,White,15369
Melanoma of the Skin,75-79,Female,American Indian or Alaska Native,16
Melanoma of the Skin,75-79,Female,Asian or Pacific Islander,53
Melanoma of the Skin,75-79,Female,Black or African American,185
Melanoma of the Skin,75-79,Female,White,7550
Melanoma of the Skin,75-79,Male,American Indian or Alaska Native,24
Melanoma of the Skin,75-79,Male,Asian or Pacific Islander,60
Melanoma of the Skin,75-79,Male,Black or African American,167
Melanoma of the Skin,75-79,Male,White,15861
Melanoma of the Skin,80-84,Female,Asian or Pacific Islander,47
Melanoma of the Skin,80-84,Female,Black or African American,176
Melanoma of the Skin,80-84,Female,White,7432
Melanoma of the Skin,80-84,Male,American Indian or Alaska Native,19
Melanoma of the Skin,80-84,Male,Asian or Pacific Islander,55
Melanoma of the Skin,80-84,Male,Black or African American,129
Melanoma of the Skin,80-84,Male,White,14478
Melanoma of the Skin,85+,Female,American Indian or Alaska Native,16
Melanoma of the Skin,85+,Female,Asian or Pacific Islander,79
Melanoma of the Skin,85+,Female,Black or African American,271
Melanoma of the Skin,85+,Female,White,11388
Melanoma of the Skin,85+,Male,American Indian or Alaska Native,22
Melanoma of the Skin,85+,Male,Asian or Pacific Islander,60
Melanoma of the Skin,85+,Male,Black or African American,111
Melanoma of the Skin,85+,Male,White,15780
Myeloma,25-29,Male,White,16
Myeloma,30-34,Female,Black or African American,22
Myeloma,30-34,Female,White,30
Myeloma,30-34,Male,Black or African American,37
Myeloma,30-34,Male,White,82
Myeloma,35-39,Female,Black or African American,84
Myeloma,35-39,Female,White,151
Myeloma,35-39,Male,Black or African American,108
Myeloma,35-39,Male,White,266
Myeloma,40-44,Female,Asian or Pacific Islander,29
Myeloma,40-44,Female,Black or African American,276
Myeloma,40-44,Female,White,461
Myeloma,40-44,Male,Asian or Pacific Islander,18
Myeloma,40-44,Male,Black or African American,311
Myeloma,40-44,Male,White,833
Myeloma,45-49,Female,Asian or Pacific Islander,52
Myeloma,45-49,Female,Black or African American,626
Myeloma,45-49,Female,White,1185
Myeloma,45-49,Male,American Indian or Alaska Native,16
Myeloma,45-49,Male,Asian or Pacific Islander,58
Myeloma,45-49,Male,Black or African American,724
Myeloma,45-49,Male,White,1902
Myeloma,50-54,Female,American Indian or Alaska Native,36
Myeloma,50-54,Female,Asian or Pacific Islander,90
Myeloma,50-54,Female,Black or African American,1172
Myeloma,50-54,Female,White,2548
Myeloma,50-54,Male,American Indian or Alaska Native,43
Myeloma,50-54,Male,Asian or Pacific Islander,145
Myeloma,50-54,Male,Black or African American,1382
Myeloma,50-54,Male,White,4047
Myeloma,55-59,Female,American Indian or Alaska Native,60
Myeloma,55-59,Female,Asian or Pacific Islander,168
Myeloma,55-59,Female,Black or African American,1851
Myeloma,55-59,Female,White,4668
Myeloma,55-59,Male,American Indian or Alaska Native,77
Myeloma,55-59,Male,Asian or Pacific Islander,236
Myeloma,55-59,Male,Black or African American,2182
Myeloma,55-59,Male,White,6908
Myeloma,60-64,Female,American Indian or Alaska Native,76
Myeloma,60-64,Female,Asian or Pacific Islander,230
Myeloma,60-64,Female,Black or African American,2554
Myeloma,60-64,Female,White,7237
Myeloma,60-64,Male,American Indian or Alaska Native,69
Myeloma,60-64,Male,Asian or Pacific Islander,299
Myeloma,60-64,Male,Black or African American,2835
Myeloma,60-64,Male,White,10590
Myeloma,65-69,Female,American Indian or Alaska Native,72
Myeloma,65-69,Female,Asian or Pacific Islander,286
Myeloma,65-69,Female,Black or African American,3122
Myeloma,65-69,Female,White,10231
Myeloma,65-69,Male,American Indian or Alaska Native,103
Myeloma,65-69,Male,Asian or Pacific Islander,359
Myeloma,65-69,Male,Black or African American,3311
Myeloma,65-69,Male,White,14451
Myeloma,70-74,Female,American Indian or Alaska Native,116
Myeloma,70-74,Female,Asian or Pacific Islander,380
Myeloma,70-74,Female,Black or African American,3494
Myeloma,70-74,Female,White,13756
Myeloma,70-74,Male,American Indian or Alaska Native,99
Myeloma,70-74,Male,Asian or Pacific Islander,416
Myeloma,70-74,Male,Black or African American,3591
Myeloma,70-74,Male,White,18359
Myeloma,75-79,Female,American Indian or Alaska Native,100
Myeloma,75-79,Female,Asian or Pacific Islander,382
Myeloma,75-79,Female,Black or African American,3651
Myeloma,75-79,Female,White,16363
Myeloma,75-79,Male,American Indian or Alaska Native,115
Myeloma,75-79,Male,Asian or Pacific Islander,426
Myeloma,75-79,Male,Black or African American,3248
Myeloma,75-79,Male,White,20319
Myeloma,80-84,Female,American Indian or Alaska Native,64
Myeloma,80-84,Female,Asian or Pacific Islander,352
Myeloma,80-84,Female,Black or African American,3309
Myeloma,80-84,Female,White,17349
Myeloma,80-84,Male,American Indian or Alaska Native,68
Myeloma,80-84,Male,Asian or Pacific Islander,374
Myeloma,80-84,Male,Black or African American,2569
Myeloma,80-84,Male,White,18945
Myeloma,85+,Female,American Indian or Alaska Native,63
Myeloma,85+,Female,Asian or Pacific Islander,376
Myeloma,85+,Female,Black or African American,3580
Myeloma,85+,Female,White,20756
Myeloma,85+,Male,American Indian or Alaska Native,54
Myeloma,85+,Male,Asian or Pacific Islander,350
Myeloma,85+,Male,Black or African American,2172
Myeloma,85+,Male,White,18311
Non-Hodgkin Lymphoma,1-4,Female,White,32
Non-Hodgkin Lymphoma,1-4,Male,Black or African American,18
Non-Hodgkin Lymphoma,1-4,Male,White,67
Non-Hodgkin Lymphoma,5-9,Female,Black or African American,20
Non-Hodgkin Lymphoma,5-9,Female,White,65
Non-Hodgkin Lymphoma,5-9,Male,Black or African American,32
Non-Hodgkin Lymphoma,5-9,Male,White,165
Non-Hodgkin Lymphoma,10-14,Female,Black or African American,29
Non-Hodgkin Lymphoma,10-14,Female,White,104
Non-Hodgkin Lymphoma,10-14,Male,Black or African American,60
Non-Hodgkin Lymphoma,10-14,Male,White,249
Non-Hodgkin Lymphoma,15-19,Female,Black or African American,75
Non-Hodgkin Lymphoma,15-19,Female,White,206
Non-Hodgkin Lymphoma,15-19,Male,Asian or Pacific Islander,33
Non-Hodgkin Lymphoma,15-19,Male,Black or African American,111
Non-Hodgkin Lymphoma,15-19,Male,White,468
Non-Hodgkin Lymphoma,20-24,Female,Asian or Pacific Islander,22
Non-Hodgkin Lymphoma,20-24,Female,Black or African American,133
Non-Hodgkin Lymphoma,20-24,Female,White,389
Non-Hodgkin Lymphoma,20-24,Male,Asian or Pacific Islander,64
Non-Hodgkin Lymphoma,20-24,Male,Black or African American,202
Non-Hodgkin Lymphoma,20-24,Male,White,758
Non-Hodgkin Lymphoma,25-29,Female,Asian or Pacific Islander,43
Non-Hodgkin Lymphoma,25-29,Female,Black or African American,186
Non-Hodgkin Lymphoma,25-29,Female,White,513
Non-Hodgkin Lymphoma,25-29,Male,Asian or Pacific Islander,56
Non-Hodgkin Lymphoma,25-29,Male,Black or African American,283
Non-Hodgkin Lymphoma,25-29,Male,White,945
Non-Hodgkin Lymphoma,30-34,Female,Asian or Pacific Islander,56
Non-Hodgkin Lymphoma,30-34,Female,Black or African American,228
Non-Hodgkin Lymphoma,30-34,Female,White,733
Non-Hodgkin Lymphoma,30-34,Male,American Indian or Alaska Native,16
Non-Hodgkin Lymphoma,30-34,Male,Asian or Pacific Islander,76
Non-Hodgkin Lymphoma,30-34,Male,Black or African American,412
Non-Hodgkin Lymphoma,30-34,Male,White,1318
Non-Hodgkin Lymphoma,35-39,Female,Asian or Pacific Islander,67
Non-Hodgkin Lymphoma,35-39,Female,Black or African American,362
Non-Hodgkin Lymphoma,35-39,Female,White,1080
Non-Hodgkin Lymphoma,35-39,Male,American Indian or Alaska Native,18
Non-Hodgkin Lymphoma,35-39,Male,Asian or Pacific Islander,93
Non-Hodgkin Lymphoma,35-39,Male,Black or African American,543
Non-Hodgkin Lymphoma,35-39,Male,White,2005
Non-Hodgkin Lymphoma,40-44,Female,American Indian or Alaska Native,22
Non-Hodgkin Lymphoma,40-44,Female,Asian or Pacific Islander,89
Non-Hodgkin Lymphoma,40-44,Female,Black or African American,532
Non-Hodgkin Lymphoma,40-44,Female,White,1759
Non-Hodgkin Lymphoma,40-44,Male,American Indian or Alaska Native,32
Non-Hodgkin Lymphoma,40-44,Male,Asian or Pacific Islander,132
Non-Hodgkin Lymphoma,40-44,Male,Black or African American,782
Non-Hodgkin Lymphoma,40-44,Male,White,3410
Non-Hodgkin Lymphoma,45-49,Female,American Indian or Alaska Native,28
Non-Hodgkin Lymphoma,45-49,Female,Asian or Pacific Islander,141
Non-Hodgkin Lymphoma,45-49,Female,Black or African American,720
Non-Hodgkin Lymphoma,45-49,Female,White,3044
Non-Hodgkin Lymphoma,45-49,Male,American Indian or Alaska Native,34
Non-Hodgkin Lymphoma,45-49,Male,Asian or Pacific Islander,216
Non-Hodgkin Lymphoma,45-49,Male,Black or African American,1133
Non-Hodgkin Lymphoma,45-49,Male,White,5657
Non-Hodgkin Lymphoma,50-54,Female,American Indian or Alaska Native,33
Non-Hodgkin Lymphoma,50-54,Female,Asian or Pacific Islander,211
Non-Hodgkin Lymphoma,50-54,Female,Black or African American,948
Non-Hodgkin Lymphoma,50-54,Female,White,5139
Non-Hodgkin Lymphoma,50-54,Male,American Indian or Alaska Native,70
Non-Hodgkin Lymphoma,50-54,Male,Asian or Pacific Islander,318
Non-Hodgkin Lymphoma,50-54,Male,Black or African American,1620
Non-Hodgkin Lymphoma,50-54,Male,White,9419
Non-Hodgkin Lymphoma,55-59,Female,American Indian or Alaska Native,65
Non-Hodgkin Lymphoma,55-59,Female,Asian or Pacific Islander,321
Non-Hodgkin Lymphoma,55-59,Female,Black or African American,1268
Non-Hodgkin Lymphoma,55-59,Female,White,8513
Non-Hodgkin Lymphoma,55-59,Male,American Indian or Alaska Native,85
Non-Hodgkin Lymphoma,55-59,Male,Asian or Pacific Islander,522
Non-Hodgkin Lymphoma,55-59,Male,Black or African American,1982
Non-Hodgkin Lymphoma,55-59,Male,White,14730
Non-Hodgkin Lymphoma,60-64,Female,American Indian or Alaska Native,80
Non-Hodgkin Lymphoma,60-64,Female,Asian or Pacific Islander,495
Non-Hodgkin Lymphoma,60-64,Female,Black or African American,1553
Non-Hodgkin Lymphoma,60-64,Female,White,12640
Non-Hodgkin Lymphoma,60-64,Male,American Indian or Alaska Native,132
Non-Hodgkin Lymphoma,60-64,Male,Asian or Pacific Islander,646
Non-Hodgkin Lymphoma,60-64,Male,Black or African American,2249
Non-Hodgkin Lymphoma,60-64,Male,White,20489
Non-Hodgkin Lymphoma,65-69,Female,American Indian or Alaska Native,99
Non-Hodgkin Lymphoma,65-69,Female,Asian or Pacific Islander,607
Non-Hodgkin Lymphoma,65-69,Female,Black or African American,1817
Non-Hodgkin Lymphoma,65-69,Female,White,17261
Non-Hodgkin Lymphoma,65-69,Male,American Indian or Alaska Native,151
Non-Hodgkin Lymphoma,65-69,Male,Asian or Pacific Islander,789
Non-Hodgkin Lymphoma,65-69,Male,Black or African American,2202
Non-Hodgkin Lymphoma,65-69,Male,White,26510
Non-Hodgkin Lymphoma,70-74,Female,American Indian or Alaska Native,117
Non-Hodgkin Lymphoma,70-74,Female,Asian or Pacific Islander,777
Non-Hodgkin Lymphoma,70-74,Female,Black or African American,1856
Non-Hodgkin Lymphoma,70-74,Female,White,24461
Non-Hodgkin Lymphoma,70-74,Male,American Indian or Alaska Native,149
Non-Hodgkin Lymphoma,70-74,Male,Asian or Pacific Islander,905
Non-Hodgkin Lymphoma,70-74,Male,Black or African American,2192
Non-Hodgkin Lymphoma,70-74,Male,White,33255
Non-Hodgkin Lymphoma,75-79,Female,American Indian or Alaska Native,112
Non-Hodgkin Lymphoma,75-79,Female,Asian or Pacific Islander,910
Non-Hodgkin Lymphoma,75-79,Female,Black or African American,1917
Non-Hodgkin Lymphoma,75-79,Female,White,31866
Non-Hodgkin Lymphoma,75-79,Male,American Indian or Alaska Native,138
Non-Hodgkin Lymphoma,75-79,Male,Asian or Pacific Islander,1044
Non-Hodgkin Lymphoma,75-79,Male,Black or African American,1819
Non-Hodgkin Lymphoma,75-79,Male,White,38327
Non-Hodgkin Lymphoma,80-84,Female,American Indian or Alaska Native,123
Non-Hodgkin Lymphoma,80-84,Female,Asian or Pacific Islander,827
Non-Hodgkin Lymphoma,80-84,Female,Black or African American,1789
Non-Hodgkin Lymphoma,80-84,Female,White,36004
Non-Hodgkin Lymphoma,80-84,Male,American Indian or Alaska Native,106
Non-Hodgkin Lymphoma,80-84,Male,Asian or Pacific Islander,906
Non-Hodgkin Lymphoma,80-84,Male,Black or African American,1467
Non-Hodgkin Lymphoma,80-84,Male,White,37466
Non-Hodgkin Lymphoma,85+,Female,American Indian or Alaska Native,112
Non-Hodgkin Lymphoma,85+,Female,Asian or Pacific Islander,1040
Non-Hodgkin Lymphoma,85+,Female,Black or African American,2088
Non-Hodgkin Lymphoma,85+,Female,White,51030
Non-Hodgkin Lymphoma,85+,Male,American Indian or Alaska Native,83
Non-Hodgkin Lymphoma,85+,Male,Asian or Pacific Islander,1007
Non-Hodgkin Lymphoma,85+,Male,Black or African American,1229
Non-Hodgkin Lymphoma,85+,Male,White,39757
Oral Cavity and Pharynx,15-19,Female,White,33
Oral Cavity and Pharynx,15-19,Male,Black or African American,31
Oral Cavity and Pharynx,15-19,Male,White,57
Oral Cavity and Pharynx,20-24,Female,Black or African American,24
Oral Cavity and Pharynx,20-24,Female,White,79
Oral Cavity and Pharynx,20-24,Male,Asian or Pacific Islander,28
Oral Cavity and Pharynx,20-24,Male,Black or African American,59
Oral Cavity and Pharynx,20-24,Male,White,101
Oral Cavity and Pharynx,25-29,Female,Asian or Pacific Islander,17
Oral Cavity and Pharynx,25-29,Female,Black or African American,26
Oral Cavity and Pharynx,25-29,Female,White,92
Oral Cavity and Pharynx,25-29,Male,Asian or Pacific Islander,32
Oral Cavity and Pharynx,25-29,Male,Black or African American,50
Oral Cavity and Pharynx,25-29,Male,White,202
Oral Cavity and Pharynx,30-34,Female,Asian or Pacific Islander,44
Oral Cavity and Pharynx,30-34,Female,Black or African American,29
Oral Cavity and Pharynx,30-34,Female,White,203
Oral Cavity and Pharynx,30-34,Male,Asian or Pacific Islander,64
Oral Cavity and Pharynx,30-34,Male,Black or African American,93
Oral Cavity and Pharynx,30-34,Male,White,347
Oral Cavity and Pharynx,35-39,Female,Asian or Pacific Islander,56
Oral Cavity and Pharynx,35-39,Female,Black or African American,98
Oral Cavity and Pharynx,35-39,Female,White,382
Oral Cavity and Pharynx,35-39,Male,Asian or Pacific Islander,141
Oral Cavity and Pharynx,35-39,Male,Black or African American,190
Oral Cavity and Pharynx,35-39,Male,White,733
Oral Cavity and Pharynx,40-44,Female,Asian or Pacific Islander,72
Oral Cavity and Pharynx,40-44,Female,Black or African American,216
Oral Cavity and Pharynx,40-44,Female,White,709
Oral Cavity and Pharynx,40-44,Male,American Indian or Alaska Native,26
Oral Cavity and Pharynx,40-44,Male,Asian or Pacific Islander,248
Oral Cavity and Pharynx,40-44,Male,Black or African American,501
Oral Cavity and Pharynx,40-44,Male,White,1813
Oral Cavity and Pharynx,45-49,Female,Asian or Pacific Islander,146
Oral Cavity and Pharynx,45-49,Female,Black or African American,451
Oral Cavity and Pharynx,45-49,Female,White,1476
Oral Cavity and Pharynx,45-49,Male,American Indian or Alaska Native,43
Oral Cavity and Pharynx,45-49,Male,Asian or Pacific Islander,400
Oral Cavity and Pharynx,45-49,Male,Black or African American,1356
Oral Cavity and Pharynx,45-49,Male,White,4612
Oral Cavity and Pharynx,50-54,Female,American Indian or Alaska Native,30
Oral Cavity and Pharynx,50-54,Female,Asian or Pacific Islander,201
Oral Cavity and Pharynx,50-54,Female,Black or African American,689
Oral Cavity and Pharynx,50-54,Female,White,2698
Oral Cavity and Pharynx,50-54,Male,American Indian or Alaska Native,81
Oral Cavity and Pharynx,50-54,Male,Asian or Pacific Islander,495
Oral Cavity and Pharynx,50-54,Male,Black or African American,2201
Oral Cavity and Pharynx,50-54,Male,White,9439
Oral Cavity and Pharynx,55-59,Female,American Indian or Alaska Native,33
Oral Cavity and Pharynx,55-59,Female,Asian or Pacific Islander,232
Oral Cavity and Pharynx,55-59,Female,Black or African American,850
Oral Cavity and Pharynx,55-59,Female,White,4021
Oral Cavity and Pharynx,55-59,Male,American Indian or Alaska Native,136
Oral Cavity and Pharynx,55-59,Male,Asian or Pacific Islander,575
Oral Cavity and Pharynx,55-59,Male,Black or African American,2976
Oral Cavity and Pharynx,55-59,Male,White,14536
Oral Cavity and Pharynx,60-64,Female,American Indian or Alaska Native,49
Oral Cavity and Pharynx,60-64,Female,Asian or Pacific Islander,224
Oral Cavity and Pharynx,60-64,Female,Black or African American,872
Oral Cavity and Pharynx,60-64,Female,White,5061
Oral Cavity and Pharynx,60-64,Male,American Indian or Alaska Native,132
Oral Cavity and Pharynx,60-64,Male,Asian or Pacific Islander,603
Oral Cavity and Pharynx,60-64,Male,Black or African American,3144
Oral Cavity and Pharynx,60-64,Male,White,17540
Oral Cavity and Pharynx,65-69,Female,American Indian or Alaska Native,43
Oral Cavity and Pharynx,65-69,Female,Asian or Pacific Islander,238
Oral Cavity and Pharynx,65-69,Female,Black or African American,768
Oral Cavity and Pharynx,65-69,Female,White,5732
Oral Cavity and Pharynx,65-69,Male,American Indian or Alaska Native,114
Oral Cavity and Pharynx,65-69,Male,Asian or Pacific Islander,561
Oral Cavity and Pharynx,65-69,Male,Black or African American,2736
Oral Cavity and Pharynx,65-69,Male,White,17368
Oral Cavity and Pharynx,70-74,Female,American Indian or Alaska Native,45
Oral Cavity and Pharynx,70-74,Female,Asian or Pacific Islander,208
Oral Cavity and Pharynx,70-74,Female,Black or African American,719
Oral Cavity and Pharynx,70-74,Female,White,6572
Oral Cavity and Pharynx,70-74,Male,American Indian or Alaska Native,96
Oral Cavity and Pharynx,70-74,Male,Asian or Pacific Islander,480
Oral Cavity and Pharynx,70-74,Male,Black or African American,2118
Oral Cavity and Pharynx,70-74,Male,White,15618
Oral Cavity and Pharynx,75-79,Female,American Indian or Alaska Native,38
Oral Cavity and Pharynx,75-79,Female,Asian or Pacific Islander,220
Oral Cavity and Pharynx,75-79,Female,Black or African American,577
Oral Cavity and Pharynx,75-79,Female,White,6963
Oral Cavity and Pharynx,75-79,Male,American Indian or Alaska Native,49
Oral Cavity and Pharynx,75-79,Male,Asian or Pacific Islander,454
Oral Cavity and Pharynx,75-79,Male,Black or African American,1359
Oral Cavity and Pharynx,75-79,Male,White,13386
Oral Cavity and Pharynx,80-84,Female,American Indian or Alaska Native,26
Oral Cavity and Pharynx,80-84,Female,Asian or Pacific Islander,232
Oral Cavity and Pharynx,80-84,Female,Black or African American,503
Oral Cavity and Pharynx,80-84,Female,White,7159
Oral Cavity and Pharynx,80-84,Male,American Indian or Alaska Native,32
Oral Cavity and Pharynx,80-84,Male,Asian or Pacific Islander,335
Oral Cavity and Pharynx,80-84,Male,Black or African American,899
Oral Cavity and Pharynx,80-84,Male,White,10307
Oral Cavity and Pharynx,85+,Female,American Indian or Alaska Native,27
Oral Cavity and Pharynx,85+,Female,Asian or Pacific Islander,356
Oral Cavity and Pharynx,85+,Female,Black or African American,648
Oral Cavity and Pharynx,85+,Female,White,11812
Oral Cavity and Pharynx,85+,Male,American Indian or Alaska Native,32
Oral Cavity and Pharynx,85+,Male,Asian or Pacific Islander,356
Oral Cavity and Pharynx,85+,Male,Black or African American,620
Oral Cavity and Pharynx,85+,Male,White,10687
Ovary,10-14,Female,White,34
Ovary,15-19,Female,Black or African American,24
Ovary,15-19,Female,White,120
Ovary,20-24,Female,Asian or Pacific Islander,23
Ovary,20-24,Female,Black or African American,60
Ovary,20-24,Female,White,300
Ovary,25-29,Female,Asian or Pacific Islander,40
Ovary,25-29,Female,Black or African American,119
Ovary,25-29,Female,White,583
Ovary,30-34,Female,Asian or Pacific Islander,93
Ovary,30-34,Female,Black or African American,183
Ovary,30-34,Female,White,1005
Ovary,35-39,Female,American Indian or Alaska Native,22
Ovary,35-39,Female,Asian or Pacific Islander,158
Ovary,35-39,Female,Black or African American,359
Ovary,35-39,Female,White,2140
Ovary,40-44,Female,American Indian or Alaska Native,35
Ovary,40-44,Female,Asian or Pacific Islander,326
Ovary,40-44,Female,Black or African American,704
Ovary,40-44,Female,White,4711
Ovary,45-49,Female,American Indian or Alaska Native,76
Ovary,45-49,Female,Asian or Pacific Islander,620
Ovary,45-49,Female,Black or African American,1345
Ovary,45-49,Female,White,9996
Ovary,50-54,Female,American Indian or Alaska Native,149
Ovary,50-54,Female,Asian or Pacific Islander,990
Ovary,50-54,Female,Black or African American,2254
Ovary,50-54,Female,White,17723
Ovary,55-59,Female,American Indian or Alaska Native,192
Ovary,55-59,Female,Asian or Pacific Islander,1069
Ovary,55-59,Female,Black or African American,3119
Ovary,55-59,Female,White,25087
Ovary,60-64,Female,American Indian or Alaska Native,195
Ovary,60-64,Female,Asian or Pacific Islander,1174
Ovary,60-64,Female,Black or African American,3849
Ovary,60-64,Female,White,32178
Ovary,65-69,Female,American Indian or Alaska Native,235
Ovary,65-69,Female,Asian or Pacific Islander,1104
Ovary,65-69,Female,Black or African American,4182
Ovary,65-69,Female,White,36693
Ovary,70-74,Female,American Indian or Alaska Native,214
Ovary,70-74,Female,Asian or Pacific Islander,933
Ovary,70-74,Female,Black or African American,3911
Ovary,70-74,Female,White,39469
Ovary,75-79,Female,American Indian or Alaska Native,170
Ovary,75-79,Female,Asian or Pacific Islander,860
Ovary,75-79,Female,Black or African American,3502
Ovary,75-79,Female,White,40770
Ovary,80-84,Female,American Indian or Alaska Native,126
Ovary,80-84,Female,Asian or Pacific Islander,694
Ovary,80-84,Female,Black or African American,2764
Ovary,80-84,Female,White,37175
Ovary,85+,Female,American Indian or Alaska Native,110
Ovary,85+,Female,Asian or Pacific Islander,667
Ovary,85+,Female,Black or African American,2793
Ovary,85+,Female,White,39936
Pancreas,15-19,Male,White,16
Pancreas,20-24,Female,White,43
Pancreas,20-24,Male,Black or African American,16
Pancreas,20-24,Male,White,49
Pancreas,25-29,Female,Black or African American,32
Pancreas,25-29,Female,White,89
Pancreas,25-29,Male,Black or African American,28
Pancreas,25-29,Male,White,140
Pancreas,30-34,Female,Asian or Pacific Islander,23
Pancreas,30-34,Female,Black or African American,73
Pancreas,30-34,Female,White,302
Pancreas,30-34,Male,Asian or Pacific Islander,32
Pancreas,30-34,Male,Black or African American,103
Pancreas,30-34,Male,White,438
Pancreas,35-39,Female,American Indian or Alaska Native,17
Pancreas,35-39,Female,Asian or Pacific Islander,69
Pancreas,35-39,Female,Black or African American,219
Pancreas,35-39,Female,White,897
