Cancer Sites,Age Group ,Sex,Race,Deaths
Cervix Uteri,60-64,Female,Asian or Pacific Islander,401
Cervix Uteri,60-64,Female,Black or African American,2012
Cervix Uteri,60-64,Female,White,7405
Cervix Uteri,65-69,Female,American Indian or Alaska Native,67
Cervix Uteri,65-69,Female,Asian or Pacific Islander,311
Cervix Uteri,65-69,Female,Black or African American,1831
Cervix Uteri,65-69,Female,White,6408
Cervix Uteri,70-74,Female,American Indian or Alaska Native,44
Cervix Uteri,70-74,Female,Asian or Pacific Islander,275
Cervix Uteri,70-74,Female,Black or African American,1490
Cervix Uteri,70-74,Female,White,5457
Cervix Uteri,75-79,Female,American Indian or Alaska Native,22
Cervix Uteri,75-79,Female,Asian or Pacific Islander,257
Cervix Uteri,75-79,Female,Black or African American,1237
Cervix Uteri,75-79,Female,White,4633
Cervix Uteri,80-84,Female,American Indian or Alaska Native,21
Cervix Uteri,80-84,Female,Asian or Pacific Islander,212
Cervix Uteri,80-84,Female,Black or African American,955
Cervix Uteri,80-84,Female,White,4042
Cervix Uteri,85+,Female,American Indian or Alaska Native,32
Cervix Uteri,85+,Female,Asian or Pacific Islander,235
Cervix Uteri,85+,Female,Black or African American,1157
Cervix Uteri,85+,Female,White,4756
Colon and Rectum,10-14,Male,White,22
Colon and Rectum,15-19,Female,White,58
Colon and Rectum,15-19,Male,Black or African American,37
Colon and Rectum,15-19,Male,White,92
Colon and Rectum,20-24,Female,Asian or Pacific Islander,24
Colon and Rectum,20-24,Female,Black or African American,71
Colon and Rectum,20-24,Female,White,251
Colon and Rectum,20-24,Male,Asian or Pacific Islander,35
Colon and Rectum,20-24,Male,Black or African American,113
Colon and Rectum,20-24,Male,White,337
Colon and Rectum,25-29,Female,Asian or Pacific Islander,62
Colon and Rectum,25-29,Female,Black or African American,198
Colon and Rectum,25-29,Female,White,686
Colon and Rectum,25-29,Male,American Indian or Alaska Native,19
Colon and Rectum,25-29,Male,Asian or Pacific Islander,103
Colon and Rectum,25-29,Male,Black or African American,224
Colon and Rectum,25-29,Male,White,925
Colon and Rectum,30-34,Female,American Indian or Alaska Native,23
Colon and Rectum,30-34,Female,Asian or Pacific Islander,141
Colon and Rectum,30-34,Female,Black or African American,455
Colon and Rectum,30-34,Female,White,1697
Colon and Rectum,30-34,Male,American Indian or Alaska Native,24
Colon and Rectum,30-34,Male,Asian or Pacific Islander,156
Colon and Rectum,30-34,Male,Black or African American,487
Colon and Rectum,30-34,Male,White,2097
Colon and Rectum,35-39,Female,American Indian or Alaska Native,40
Colon and Rectum,35-39,Female,Asian or Pacific Islander,253
Colon and Rectum,35-39,Female,Black or African American,972
Colon and Rectum,35-39,Female,White,3440
Colon and Rectum,35-39,Male,American Indian or Alaska Native,57
Colon and Rectum,35-39,Male,Asian or Pacific Islander,246
Colon and Rectum,35-39,Male,Black or African American,1041
Colon and Rectum,35-39,Male,White,4513
Colon and Rectum,40-44,Female,American Indian or Alaska Native,84
Colon and Rectum,40-44,Female,Asian or Pacific Islander,452
Colon and Rectum,40-44,Female,Black or African American,1866
Colon and Rectum,40-44,Female,White,6957
